item_id	コイン名	国	素材	年号	グレード	認定機関	判定	ステータス	証拠状況	コメント	URL	更新日
spink_css123_hk_2026_apr_1481	People's Republic of China, [NGC PF70 UC] silver proof 300 yuan, 2016, 'Nirvana Buddha Shrines', 1kg, .999...	UNKNOWN	silver	2016	PF70	NGC	CAP_BUY	INVESTIGATION	スラブ未確認	[CAP品質管理 2026-04-04] Yahoo参照エラー: 異なる銘柄・シリーズ・製品を参照。比較不能のため再調査必要。	https://www.numisbids.com/sale/10494/lot/1481	2026-04-03T16:16:46.734119+00:00
spink_hambleden_2026_apr_1	Corieltauvi, gold stater, c. 60-20 BC, North East Coast Left type, wt. 6.17gms. (ABC.1722, S.29), very fine  Estimate:...	UNKNOWN	gold	1722			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥76,000で仕入上限¥41,500。想定利益¥-17,950(ROI -26.2%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10440/lot/1	2026-04-03T16:13:08.459948+00:00
spink_hambleden_2026_apr_15	George II, guinea, 1737, second young head l., rev. crowned shield (S.3674), about extremely fine, or near so ...	GB	gold	1737			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥190,000で仕入上限¥129,636。想定利益¥-40,750(ROI -23.8%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10440/lot/15	2026-04-03T16:13:08.459948+00:00
spink_hambleden_2026_apr_31	George IV, shilling, 1825, laur. head l., rev. crowned shield within Garter (S.3811), extremely fine or better ...	UNKNOWN	gold	1825			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥76,000で仕入上限¥41,500。想定利益¥-17,950(ROI -26.2%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10440/lot/31	2026-04-03T16:13:08.459948+00:00
spink_hambleden_2026_apr_4971	World Coins from Various Properties

Mexico, San Luis Potosí, Quarter-Real or Quartilla, 1830 (KM. 359); Sonora,...	UNKNOWN	gold	1830			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 現在入札額¥38,000で仕入上限¥10,409。想定利益¥-10,350(ROI -30.3%)。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10536/lot/4971	2026-04-03T17:49:15.355301+00:00
spink_hambleden_2026_apr_4989	World Coins from Various Properties

Seychelles, Republic, Pattern or Trial Rupee and 50 Cents, both 1977, in nickel...	UNKNOWN	gold	1977			CAP_NG	INVESTIGATION	スラブ未確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.numisbids.com/sale/10536/lot/4989	2026-04-03T17:46:47.10778+00:00
v1|198236960211|0	1964 50c KENNEDY Silver Half Dollar Minted Coin PR66 PCGS Rare Graded Coins849	UNKNOWN	silver	1964	PR66	PCGS	CAP_NG	INVESTIGATION	要確認	[CAP品質管理 2026-04-04] Yahoo参照エラー: 参照コインはAccent Hair希少バリエーション(¥30,000)だが、本品は通常版PR66。通常版PR66推定売価¥8,000-10,000 → 利益計算不可(最低利益¥20,000未達)。CAP_NG確定。	https://www.ebay.com/itm/198236960211?_skw=PCGS+silver+coin+graded&hash=item2e27d7f5d3:g:mrEAAOSwIatklbr3	2026-04-03T16:39:54.706813+00:00
v1|206172609969|0	Serbia 1882 V Milan I Gold 10 Dinara  PCGS AU50  Rare Certified Graded 	UNKNOWN	gold	1882	AU50	PCGS	CAP_NG	INVESTIGATION	要確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.ebay.com/itm/206172609969?_skw=PCGS+gold+graded&hash=item3000d85db1:g:ILwAAeSwyBdpjMVy	2026-04-03T16:13:08.459948+00:00
v1|236734095523|0	American Gold Eagle (1 oz) $50 - BU - 1986 Graded By PCGS at MS68	US	gold	1986	MS68	PCGS	CAP_NG	INVESTIGATION	要確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.ebay.com/itm/236734095523?_skw=PCGS+gold+graded&hash=item371e73a0a3:g:i~4AAeSwqAhptDHZ	2026-04-03T16:13:08.459948+00:00
v1|397793700553|0	1957 Mo Mexico Peso Jose Morelos NGC MS66 Silver High Graded Coin 	UNKNOWN	silver	1957	MS66	NGC	CAP_NG	INVESTIGATION	要確認	Yahoo参照なし。類似取引不足、要継続調査。 Yahoo相場不明のため利益計算不可。現地調査後に再評価。 ❌ CAP_NG：現時点では見送り推奨。	https://www.ebay.com/itm/397793700553?_skw=NGC+silver+coin+graded&hash=item5c9e5a2ac9:g:TlcAAeSw~QxpvfIM	2026-04-03T16:13:08.459948+00:00
